----------------------------------------------------------------------
My Process Log
Log file created at : Sun Jun  2 10:27:43 2024
----------------------------------------------------------------------
CONTENTS OF LOG FILE
----------------------------------------------------------------------
{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0} 
{'name': 'OpenConsole.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 24264} 
{'name': 'chrome.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 24276} 
{'name': 'LockApp.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 24380} 
{'name': 'cmd.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 24524} 
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 24572} 
{'name': 'msedge.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 25532} 
{'name': 'msedge.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 26084} 
{'name': 'chrome.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 26096} 
{'name': 'Video.UI.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 26116} 
{'name': 'conhost.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 26208} 
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 26472} 
{'name': 'browserhost.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 26564} 
{'name': 'Code.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 27176} 
{'name': 'Code.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 27188} 
{'name': 'backgroundTaskHost.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 27300} 
{'name': 'Windows.Media.BackgroundPlayback.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 27372} 
{'name': 'chrome.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 27768} 
{'name': 'Code.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 27860} 
{'name': 'CptHost.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 27896} 
{'name': 'SystemSettingsAdminFlows.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 27972} 
{'name': 'msedge.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 28000} 
{'name': 'MfeBrowserHost.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 28012} 
{'name': 'WindowsTerminal.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 28044} 
{'name': 'chrome.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 28052} 
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 28112} 
{'name': 'svchost.exe', 'username': None, 'pid': 28740} 
{'name': 'Code.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 28896} 
{'name': 'backgroundTaskHost.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 28908} 
{'name': 'msedge.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 29168} 
{'name': 'conhost.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 29340} 
{'name': 'browserhost.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 29648} 
----------------------------------------------------------------------
